,id_city,name,latitude,longitude,population,entregas,potencial
0,0,Jaipur,26.91962,75.78781,2711758.0,3137,864.4430985017533
1,1,Desconhecido,0.0,0.0,1.0,3304,0.0003026634382566586
2,2,Hyderabad,17.38405,78.45636,3597816.0,2905,1238.490877796902
3,3,Surat,21.19594,72.83023,2894504.0,2908,995.3590096286107
4,4,Mysore,12.29791,76.63925,868313.0,2715,319.8206261510129
5,5,Ranchi,23.34316,85.3094,846454.0,2313,365.95503674881104
6,6,Indore,22.71792,75.8333,1837041.0,2860,642.322027972028
7,7,Chennai,13.08784,80.27847,4328063.0,2835,1526.653615520282
8,8,Pune,18.51957,73.85535,2935744.0,2839,1034.076787601268
9,9,Kanpur,26.46523,80.34975,2823249.0,616,4583.196428571428
10,10,Ludhiāna,30.91204,75.85379,1545368.0,627,2464.7017543859647
11,11,Coimbatore,11.00555,76.96612,959823.0,2897,331.31618916120124
12,12,Goa Velha,15.44384,73.88572,5656.0,547,10.340036563071298
13,13,Bengaluru,12.97194,77.59369,5104047.0,2878,1773.4701181375956
14,14,Kolkata,22.56263,88.36304,4631392.0,647,7158.25656877898
15,15,Agra,27.18333,78.01667,1430055.0,513,2787.6315789473683
16,16,Mumbai,19.07283,72.88261,12691836.0,2880,4406.8875
17,17,Dehra Dūn,30.32443,78.03392,522081.0,436,1197.4334862385322
18,18,Vadodara,22.29941,73.20812,1409476.0,1432,984.2709497206704
19,19,Aurangabad,19.87757,75.34226,1016441.0,502,2024.7828685258964
20,20,Pratāpgarh,25.89509,81.9424,13672.0,511,26.755381604696673
21,21,Bhopāl,23.25469,77.40289,1599914.0,431,3712.097447795824
22,22,Edakkulam,10.6102,76.18352,2000.0,635,3.1496062992125986
23,23,Pūnch,33.77033,74.09254,28197.0,1,28197.0
24,24,Zunheboto,25.96667,94.51667,29499.0,1,29499.0
25,25,Zaidpur,26.83093,81.32929,33397.0,1,33397.0
26,26,Yārāda,17.65872,83.27419,3406.0,1,3406.0
27,27,Yanam,16.73308,82.21364,36896.0,1,36896.0
28,28,Yamunānagar,30.12796,77.28371,1.0,1,1.0
29,29,Wokha,26.09717,94.25817,5401.0,1,5401.0
